Construction BOQ,جدول كميات البناء
"Point-in-time CFO summary of project budget, commitments, measured value, certification, retention, exposure, and risk.","Point-in-time CFO summary of project budget, commitments, measured value, certification, retention, exposure, and risk."
"Point-in-time Earned Value Management snapshot for BAC, EV, AC, PV, CPI, SPI, EAC, ETC, VAC, and risk.","Point-in-time Earned Value Management snapshot for BAC, EV, AC, PV, CPI, SPI, EAC, ETC, VAC, and risk."
Posting Date,تاريخ الترحيل
Potential customer from ERPNext CRM.,مهتم محتمل من نظام إدارة علاقات العملاء في ERPNext.
Prefix used when generating reservation numbers.,البادئة المستخدمة عند توليد أرقام الحجز.
Preliminary,Preliminary
Previous Certified Amount,Previous المبلغ المعتمد
Previous Certified Qty,الكمية المعتمدة السابقة
Previous Measured Qty,الكمية المقاسة السابقة
Previously verified quantity for the same Work Item.,الكمية التي تم التحقق منها سابقا لنفس بند العمل.
Procurement Control Reports,تقارير رقابة المشتريات
Procurement Invoiced Amount,المشتريات المبلغ المفوتر
Procurement Progress Percent,المشتريات التقدم Percent
Procurement Settings,إعدادات المشتريات
Procurement Status,المشتريات الحالة
Procurement Tracking,تتبع المشتريات
Procurement Variance Amount,المشتريات مبلغ الفرق
Procurement Variance Qty,المشتريات الفروقات Qty
Procurement progress calculated from linked ERPNext procurement and stock transactions.,المشتريات progress calculated from linked ERPNext procurement and stock transactions.
Profitability,الربحية
Profitable Units,Profitable الوحدةs
Progress,التقدم
Progress %,التقدم %
Progress & Advancement,التقدم والإنجاز
Progress Percent,التقدم Percent
Progress Weight,التقدم Weight
Progress Weight must be between 0 and 100.,التقدم Weight must be between 0 and 100.
Project & Budget,المشروع والميزانية
Project / Contractor,المشروع / المقاول
Project / Contractor / IPC,المشروع / المقاول / المستخلص
Project / Contractor / Period,المشروع / المقاول / الفترة
Project Cost Entry,المشروع Cost Entry
Project Name Arabic,المشروع Name Arabic
Project Revenue,المشروع Revenue
"Project bill of quantities used to plan quantities, rates, categories, and approved construction cost baseline.","المشروع bill of quantities used to plan quantities, rates, categories, and approved construction cost baseline."
Project cost amount selected for management allocation to units.,المشروع cost amount selected for management allocation to units.
Project is required.,المشروع is required.
"Project work breakdown element used to organize BOQ lines, work items, procurement, and measurement by execution structure.","المشروع work breakdown element used to organize BOQ lines, work items, procurement, and measurement by execution structure."
Property Nature,طبيعة العقار
Purchase Flow,مسار الشراء
Purchase Invoice / Payment,فاتورة الشراء / السداد
Purchase Invoice Count,فاتورة الشراء Count
Purchase Invoice Created,فاتورة الشراء Created
Purchase Invoice Outflow,فاتورة الشراء Outflow
Purchase Invoice can only be created from an approved IPC.,فاتورة الشراء can only be created from an approved المستخلص.
Purchase Invoice is required,فاتورة الشراء is required
Purchase Order Count,عدد أوامر الشراء
Purchase Order Outflow,تدفق أوامر الشراء الخارج
Qty,Qty
Quantities,الكميات
Quantity & Rate,الكمية والسعر
Quantity accepted by QS verification for this entry.,الكمية accepted by QS verification for this entry.
Quantity certified through submitted IPCs. Kept separate from measured quantity.,الكمية certified through submitted المستخلصs. Kept separate from measured quantity.
Quantity verified through Measurement Entries. Does not certify payment by itself.,الكمية verified through قيود القياس. Does not certify payment by itself.
Quarterly,Quarterly
RPN Score,RPN Score
Rate,Rate
Rates / Amounts,الأسعار والمبالغ
Ready,Ready
Ready for Rent,Ready for Rent
Ready for Sale,Ready for Sale
Real Estate Project is required.,المشروع العقاري is required.
Real Total,Real Total
"Real estate inventory layer linked to an ERPNext Project for buildings, floors, units, and profitability analysis.","Real estate inventory layer linked to an ERPNext المشروع for buildings, floors, units, and profitability analysis."
Real estate project that contains the reserved unit.,المشروع العقاري الذي يحتوي على الوحدة المحجوزة.
Received Amount,Received المبلغ
Recommended Action,Recommended Action
Recovered,Recovered
Recovered Amount,Recovered المبلغ
Recovered Amount cannot exceed Advance Amount.,Recovered المبلغ cannot exceed Advance المبلغ.
Reference,Reference
Reference DocType,نوع مستند المرجع
Reference Name,اسم المرجع
Rejection Reason,سبب الرفض
Rejection Reason is required for rejected IPC.,Rejection Reason is required for rejected المستخلص.
Rejection Reason is required for rejected Measurement Entries.,Rejection Reason is required for rejected قيود القياس.
Release Due Date,تاريخ استحقاق الإفراج
Release Journal Entry,قيد يومية الإفراج
Release Payment Entry,Release سند الدفع
Release References,مراجع الإفراج
Release Schedule,جدول الإفراج
Released Amount,Released المبلغ
Released Amount cannot exceed Retention Amount.,Released المبلغ cannot exceed مبلغ المحتجز.
Remaining Amount,Remaining المبلغ
Remaining Retention,Remaining المحتجزات
Remaining Retention Amount,Remaining مبلغ المحتجز
Remarks,الملاحظات
Remarks are required when releasing retention before Release Due Date.,الملاحظات are required when releasing retention before Release Due Date.
Request Date,Request Date
Requested Amount,Requested المبلغ
Requested By,Requested By
Require Cost Code On Project Purchase,Require كود التكلفة On المشروع Purchase
"Require Customer, Lead, or Party Name before reserving a unit.","Require العميل, المهتم, or اسم الطرف before reserving a unit."
Require Unit On Unit Specific Cost,Require الوحدة On الوحدة Specific Cost
Require Work Item On Project Purchase,Require Work Item On المشروع Purchase
Require a positive reservation amount. No accounting entry is created.,معلومة تجارية للمتابعة فقط ولا ينشأ عنها قيد محاسبي في هذه المرحلة.
Reservation Amount cannot be negative.,مبلغ الحجز cannot be negative.
Reservation Amount is required by reservation settings.,مبلغ الحجز is required by reservation settings.
Reservation validity period has expired.,الحجز validity period has expired.
Reserved summary of actual cost; procurement and certification amounts are tracked separately.,ملخص محفوظ للتكلفة الفعلية، بينما يتم تتبع مبالغ المشتريات والاعتماد المالي بشكل منفصل.
Residential,Residential
Retained On,تاريخ الاحتجاز
Retenci\u00f3n ISR,Retenci\u00f3n ISR
Retenci\u00f3n IVA 1%,Retenci\u00f3n IVA 1%
Retention %,المحتجزات %
Retention Amounts,مبالغ المحتجز
Retention Count,المحتجزات Count
Retention Due,المحتجزات Due
Retention Guarantee,المحتجزات Guarantee
Retention Held Amount,المحتجزات القائمة المبلغ
Retention Information,بيانات المحتجز
Retention Percent,المحتجزات Percent
Retention Percent Default,المحتجزات Percent Default
Retention Release,المحتجزات Release
Retention Release Outflow,المحتجزات Release Outflow
Retention Released,المحتجزات Released
Retention Released Amount,المحتجزات Released المبلغ
Retention amount still held and not yet released.,المحتجزات amount still held and not yet released.
Revenue Name,Revenue Name
Revenue Type,Revenue Type
Reversal,العكس والتسوية
Reversed Entry,الحركة المعكوسة
Reviewed By,تمت المراجعة بواسطة
Reviewed On,تاريخ المراجعة
Revised,Revised
Revision No,رقم المراجعة
Risk,المخاطر
Role,Role
Roof,Roof
Routine marked as performed. Next due: {0},Routine marked as performed. Next due: {0}
Row {0},Row {0}
Row {0}: Construction Work Item is required for project procurement.,Row {0}: بند عمل إنشائي is required for project procurement.
Row {0}: Current Certified Qty cannot be negative.,Row {0}: Current Certified Qty cannot be negative.
Row {0}: Disabled Cost Code {1} cannot be used.,Row {0}: Disabled كود التكلفة {1} cannot be used.
Row {0}: Disabled WBS Element {1} cannot be used.,Row {0}: Disabled عنصر هيكل العمل {1} cannot be used.
Row {0}: Group Cost Code {1} cannot be used for BOQ costing.,Row {0}: Group كود التكلفة {1} cannot be used for BOQ costing.
Row {0}: Markup Percent cannot be negative.,Row {0}: Markup Percent cannot be negative.
Row {0}: Measurement Entry must be Verified or Locked.,Row {0}: قيد قياس must be Verified or Locked.
Row {0}: Purchase Order amount may exceed planned Work Item amount for {1}.,Row {0}: Purchase Order amount may exceed planned Work Item amount for {1}.
Row {0}: Quantity cannot be negative.,Row {0}: الكمية cannot be negative.
Row {0}: Remarks or Variation Reference is required when certified qty exceeds BOQ qty.,Row {0}: الملاحظات or Variation Reference is required when certified qty exceeds BOQ qty.
Row {0}: Remarks or Variation Reference is required when certified qty exceeds accepted measurement qty.,Row {0}: الملاحظات or Variation Reference is required when certified qty exceeds accepted measurement qty.
Row {0}: Unit Rate cannot be negative.,Row {0}: سعر الوحدة cannot be negative.
Row {0}: WBS Element must belong to Project {1}.,Row {0}: عنصر هيكل العمل must belong to المشروع {1}.
Row {0}: Wastage Percent cannot be negative.,Row {0}: Wastage Percent cannot be negative.
Rule {0}: no company found on rule or document {1} {2},Rule {0}: no company found on rule or document {1} {2}
Running Balance,الرصيد الجاري
SPC Out of Control: {0},SPC Out of Control: {0}
SPI,SPI
SPI = Earned Value / Planned Value when Planned Value is greater than zero.,مؤشر أداء الجدول = القيمة المكتسبة / القيمة المخططة عندما تكون القيمة المخططة أكبر من صفر.
SPI Status,SPI الحالة
SV,SV
Sales Invoice is required to apply collection,Sales Invoice is required to apply collection
Sales Invoice {0} has no outstanding amount,Sales Invoice {0} has no outstanding amount
Schedule Performance Index,مؤشر أداء الجدول
Schedule Status,Schedule الحالة
Section,القسم
"Selects the allocated cost source used for classification, workflow, or reporting.",يحدد التكلفة الموزعة Source المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the boq type used for classification, workflow, or reporting.",يحدد Boq Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the building type used for classification, workflow, or reporting.",يحدد المبنى Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the cost category used for classification, workflow, or reporting.",يحدد Cost Category المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the deduction type used for classification, workflow, or reporting.",يحدد Deduction Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the default dimension mode used for classification, workflow, or reporting.",يحدد Default Dimension Mode المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the default usage purpose used for classification, workflow, or reporting.",يحدد Default Usage Purpose المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the development type used for classification, workflow, or reporting.",يحدد Development Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the direction used for classification, workflow, or reporting.",يحدد Direction المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the finishing status used for classification, workflow, or reporting.",يحدد Finishing الحالة المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the floor type used for classification, workflow, or reporting.",يحدد الطابق Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the guarantee type used for classification, workflow, or reporting.",يحدد Guarantee Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the item category used for classification, workflow, or reporting.",يحدد Item Category المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the legal status used for classification, workflow, or reporting.",يحدد Legal الحالة المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the measurement method used for classification, workflow, or reporting.",يحدد القياسات Method المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the owner type used for classification, workflow, or reporting.",يحدد المالك Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the ownership role used for classification, workflow, or reporting.",يحدد المالكship Role المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the period type used for classification, workflow, or reporting.",يحدد Period Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the property nature used for classification, workflow, or reporting.",يحدد Property Nature المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the source used for classification, workflow, or reporting.",يحدد Source المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the technical status used for classification, workflow, or reporting.",يحدد Technical الحالة المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the transaction type used for classification, workflow, or reporting.",يحدد Transaction Type المستخدم للتصنيف أو سير العمل أو التقارير.
"Selects the usage purpose used for classification, workflow, or reporting.",يحدد Usage Purpose المستخدم للتصنيف أو سير العمل أو التقارير.
Semi Finished,Semi Finished
Service,Service
Setup & Masters,الإعدادات والبيانات الأساسية
Severity,Severity
Shared,Shared
Short Term Rent,Short Term Rent
Simple CFO status based on deterministic risk rules.,حالة مالية تنفيذية مبسطة تعتمد على قواعد مخاطر ثابتة.
Site Warehouses & Stock,مخازن الموقع والمخزون
Snapshot Date,تاريخ اللقطة
Snapshot Title,عنوان اللقطة
Sold Units,Sold الوحدةs
Source,المصدر
Source Amount,Source المبلغ
Source Amount must be greater than zero before Applied.,Source المبلغ must be greater than zero before Applied.
Source Amount must be greater than zero before applying.,Source المبلغ must be greater than zero before applying.
Source BOQ Revision,مراجعة جدول الكميات المصدر
Source BOQ child row identifier used to prevent duplicate Work Items.,Source BOQ child row identifier used to prevent duplicate بنود العمل.
Source Cost,مصدر التكلفة
Source Counts,عدد سجلات المصادر
Source Values,القيم المصدرية
"Source amount used for allocation, such as BOQ total, committed cost, or financial snapshot.",مبلغ المصدر المستخدم للتوزيع مثل إجمالي جدول الكميات أو تكلفة الالتزام أو الملخص المالي.
South,South
South East,South East
South West,South West
Special,Special
Specifies the account name for this Contractor Account.,يحدد Account Name لهذا السجل: حساب المقاول.
Specifies the advance date for this Advance Register.,يحدد Advance Date لهذا السجل: سجل السلف.
Specifies the advance limit for this Contractor Account.,يحدد Advance Limit لهذا السجل: حساب المقاول.
Specifies the advance outflow for this Project Cash Flow Forecast Period.,يحدد Advance Outflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the alert before days for this Guarantee Register.,يحدد Alert Before Days لهذا السجل: سجل الضمانات.
Specifies the allocated cost date for this Unit.,يحدد التكلفة الموزعة Date لهذا السجل: الوحدة.
Specifies the allocation date for this Unit Cost Allocation.,يحدد Allocation Date لهذا السجل: توزيع تكلفة الوحدات.
Specifies the allocation number for this Unit Cost Allocation.,يحدد Allocation Number لهذا السجل: توزيع تكلفة الوحدات.
Specifies the allocation percent for this Unit Cost Allocation Line.,يحدد Allocation Percent لهذا السجل: بند توزيع تكلفة الوحدة.
Specifies the amount for this IPC Deduction.,يحدد المبلغ لهذا السجل: خصم مستخلص.
Specifies the area for this Unit Cost Allocation Line.,يحدد المساحة لهذا السجل: بند توزيع تكلفة الوحدة.
Specifies the area for this Unit.,يحدد المساحة لهذا السجل: الوحدة.
Specifies the bathrooms for this Unit.,يحدد Bathrooms لهذا السجل: الوحدة.
Specifies the bedrooms for this Unit.,يحدد Bedrooms لهذا السجل: الوحدة.
Specifies the book number for this Measurement Book.,يحدد Book Number لهذا السجل: دفتر القياسات.
Specifies the boq date for this Construction BOQ.,يحدد Boq Date لهذا السجل: جدول كميات البناء.
Specifies the boq number for this Construction BOQ.,يحدد Boq Number لهذا السجل: جدول كميات البناء.
Specifies the building code for this Building.,يحدد المبنى Code لهذا السجل: المبنى.
Specifies the building name for this Building.,يحدد المبنى Name لهذا السجل: المبنى.
Specifies the calculation date for this Project EVM Metrics.,يحدد Calculation Date لهذا السجل: مؤشرات القيمة المكتسبة للمشروع.
Specifies the certificate number for this Interim Payment Certificate.,يحدد Certificate Number لهذا السجل: مستخلص مقاول.
Specifies the certificate sequence for this Interim Payment Certificate.,يحدد Certificate Sequence لهذا السجل: مستخلص مقاول.
Specifies the cost code for this Cost Code.,يحدد كود التكلفة لهذا السجل: كود التكلفة.
Specifies the cost code name for this Cost Code.,يحدد كود التكلفة Name لهذا السجل: كود التكلفة.
Specifies the current certified qty for this Interim Payment Certificate Line.,يحدد Current Certified Qty لهذا السجل: بند مستخلص مقاول.
Specifies the defect liability months for this Retention Register.,يحدد Defect Liability Months لهذا السجل: سجل المحتجزات.
Specifies the description for this IPC Deduction.,يحدد الوصف لهذا السجل: خصم مستخلص.
Specifies the disabled for this Construction Work Item.,يحدد Disabled لهذا السجل: بند عمل إنشائي.
Specifies the disabled for this Cost Code.,يحدد Disabled لهذا السجل: كود التكلفة.
Specifies the disabled for this Unit Type.,يحدد Disabled لهذا السجل: نوع الوحدة.
Specifies the disabled for this WBS Element.,يحدد Disabled لهذا السجل: عنصر هيكل العمل.
Specifies the dynamic attributes json for this Unit.,يحدد Dynamic Attributes Json لهذا السجل: الوحدة.
Specifies the email for this Property Owner.,يحدد Email لهذا السجل: مالك العقار.
Specifies the email for this Unit Reservation.,يحدد Email لهذا السجل: حجز وحدة.
Specifies the enable budget blocking for this Procurement Control Settings.,يحدد Enable Budget Blocking لهذا السجل: إعدادات رقابة المشتريات.
Specifies the enable budget warning for this Procurement Control Settings.,يحدد Enable Budget Warning لهذا السجل: إعدادات رقابة المشتريات.
Specifies the enable dimension warnings for this Financial Dimension Settings.,يحدد Enable Dimension Warnings لهذا السجل: إعدادات الأبعاد المالية.
Specifies the enable financial dimension sync for this Financial Dimension Settings.,يحدد Enable Financial Dimension Sync لهذا السجل: إعدادات الأبعاد المالية.
Specifies the enable work item sync for this Procurement Control Settings.,يحدد Enable Work Item Sync لهذا السجل: إعدادات رقابة المشتريات.
Specifies the end date for this Project Cash Flow Forecast.,يحدد End Date لهذا السجل: توقع التدفق النقدي للمشروع.
Specifies the end date for this Property Ownership.,يحدد End Date لهذا السجل: ملكية العقار.
Specifies the evm title for this Project EVM Metrics.,يحدد Evm Title لهذا السجل: مؤشرات القيمة المكتسبة للمشروع.
Specifies the expected monthly rent for this Unit Cost Allocation Line.,يحدد الإيجار الشهري المتوقع لهذا السجل: بند توزيع تكلفة الوحدة.
Specifies the expected monthly rent for this Unit.,يحدد الإيجار الشهري المتوقع لهذا السجل: الوحدة.
Specifies the expected next payment date for this Interim Payment Certificate.,يحدد Expected Next Payment Date لهذا السجل: مستخلص مقاول.
Specifies the expected other inflow for this Project Cash Flow Forecast Period.,يحدد Expected Other Inflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the expected rent inflow for this Project Cash Flow Forecast Period.,يحدد Expected Rent Inflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the expected sale price for this Unit Cost Allocation Line.,يحدد سعر البيع المتوقع لهذا السجل: بند توزيع تكلفة الوحدة.
Specifies the expected sale price for this Unit.,يحدد سعر البيع المتوقع لهذا السجل: الوحدة.
Specifies the expected sales inflow for this Project Cash Flow Forecast Period.,يحدد Expected Sales Inflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the expiry date for this Guarantee Register.,يحدد Expiry Date لهذا السجل: سجل الضمانات.
Specifies the floor code for this Floor.,يحدد الطابق Code لهذا السجل: الطابق.
Specifies the floor name for this Floor.,يحدد الطابق Name لهذا السجل: الطابق.
Specifies the floor number for this Floor.,يحدد الطابق Number لهذا السجل: الطابق.
Specifies the forecast date for this Project Cash Flow Forecast.,يحدد التوقع Date لهذا السجل: توقع التدفق النقدي للمشروع.
Specifies the forecast title for this Project Cash Flow Forecast.,يحدد التوقع Title لهذا السجل: توقع التدفق النقدي للمشروع.
Specifies the gps accuracy for this Measurement Entry.,يحدد Gps Accuracy لهذا السجل: قيد قياس.
Specifies the gps latitude for this Measurement Entry.,يحدد Gps Latitude لهذا السجل: قيد قياس.
Specifies the gps longitude for this Measurement Entry.,يحدد Gps Longitude لهذا السجل: قيد قياس.
Specifies the grid or zone for this Measurement Entry.,يحدد Grid Or Zone لهذا السجل: قيد قياس.
Specifies the guarantee number for this Guarantee Register.,يحدد Guarantee Number لهذا السجل: سجل الضمانات.
Specifies the has parking for this Unit.,يحدد Has Parking لهذا السجل: الوحدة.
Specifies the has storage for this Unit.,يحدد Has Storage لهذا السجل: الوحدة.
Specifies the height for this Measurement Entry.,يحدد Height لهذا السجل: قيد قياس.
Specifies the identification no for this Property Owner.,يحدد Identification No لهذا السجل: مالك العقار.
Specifies the ipc count for this Project Cash Flow Forecast Period.,يحدد Ipc Count لهذا السجل: فترة توقع التدفق النقدي.
Specifies the ipc line reference for this Measurement Entry.,يحدد Ipc Line Reference لهذا السجل: قيد قياس.
Specifies the ipc outflow for this Project Cash Flow Forecast Period.,يحدد Ipc Outflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the is group for this Cost Code.,يحدد Is Group لهذا السجل: كود التكلفة.
Specifies the is group for this WBS Element.,يحدد Is Group لهذا السجل: عنصر هيكل العمل.
Specifies the is reversed for this Contractor Ledger Entry.,يحدد Is Reversed لهذا السجل: حركة كشف المقاول.
Specifies the issue date for this Guarantee Register.,يحدد Issue Date لهذا السجل: سجل الضمانات.
Specifies the issuing bank for this Guarantee Register.,يحدد Issuing Bank لهذا السجل: سجل الضمانات.
Specifies the length for this Measurement Entry.,يحدد Length لهذا السجل: قيد قياس.
Specifies the location summary for this Real Estate Project.,يحدد Location الملخص لهذا السجل: المشروع العقاري.
Specifies the locked on for this Measurement Book.,يحدد Locked On لهذا السجل: دفتر القياسات.
Specifies the markup percent for this Construction BOQ Item.,يحدد Markup Percent لهذا السجل: بند جدول كميات البناء.
Specifies the measurement date for this Measurement Entry.,يحدد القياسات Date لهذا السجل: قيد قياس.
Specifies the measurement location for this Measurement Entry.,يحدد القياسات Location لهذا السجل: قيد قياس.
Specifies the measurement period end for this Measurement Book.,يحدد القياسات Period End لهذا السجل: دفتر القياسات.
Specifies the measurement period start for this Measurement Book.,يحدد القياسات Period Start لهذا السجل: دفتر القياسات.
Specifies the mobile no for this Property Owner.,يحدد Mobile No لهذا السجل: مالك العقار.
Specifies the mobile no for this Unit Reservation.,يحدد Mobile No لهذا السجل: حجز وحدة.
Specifies the number of floors for this Building.,يحدد Number Of الطابقs لهذا السجل: المبنى.
Specifies the number of units for this Measurement Entry.,يحدد Number Of الوحدةs لهذا السجل: قيد قياس.
Specifies the other outflow for this Project Cash Flow Forecast Period.,يحدد Other Outflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the overrun tolerance percent for this Procurement Control Settings.,يحدد Overrun Tolerance Percent لهذا السجل: إعدادات رقابة المشتريات.
Specifies the owner name for this Property Owner.,يحدد المالك Name لهذا السجل: مالك العقار.
Specifies the ownership percentage for this Property Ownership.,يحدد نسبة الملكية لهذا السجل: ملكية العقار.
Specifies the parking count for this Unit.,يحدد Parking Count لهذا السجل: الوحدة.
Specifies the period end for this Interim Payment Certificate.,يحدد Period End لهذا السجل: مستخلص مقاول.
Specifies the period end for this Project Cash Flow Forecast Period.,يحدد Period End لهذا السجل: فترة توقع التدفق النقدي.
Specifies the period for this Project Cash Flow Forecast Period.,يحدد Period لهذا السجل: فترة توقع التدفق النقدي.
Specifies the period start for this Interim Payment Certificate.,يحدد Period Start لهذا السجل: مستخلص مقاول.
Specifies the period start for this Project Cash Flow Forecast Period.,يحدد Period Start لهذا السجل: فترة توقع التدفق النقدي.
Specifies the planned end date for this WBS Element.,يحدد Planned End Date لهذا السجل: عنصر هيكل العمل.
Specifies the planned start date for this WBS Element.,يحدد Planned Start Date لهذا السجل: عنصر هيكل العمل.
Specifies the posting date for this Contractor Ledger Entry.,يحدد تاريخ الترحيل لهذا السجل: حركة كشف المقاول.
Specifies the progress weight for this WBS Element.,يحدد التقدم Weight لهذا السجل: عنصر هيكل العمل.
Specifies the project name arabic for this Real Estate Project.,يحدد المشروع Name Arabic لهذا السجل: المشروع العقاري.
Specifies the purchase invoice count for this Project Cash Flow Forecast Period.,يحدد فاتورة الشراء Count لهذا السجل: فترة توقع التدفق النقدي.
Specifies the purchase invoice outflow for this Project Cash Flow Forecast Period.,يحدد فاتورة الشراء Outflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the purchase order count for this Project Cash Flow Forecast Period.,يحدد Purchase Order Count لهذا السجل: فترة توقع التدفق النقدي.
Specifies the purchase order outflow for this Project Cash Flow Forecast Period.,يحدد Purchase Order Outflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the quantity for this Construction BOQ Item.,يحدد الكمية لهذا السجل: بند جدول كميات البناء.
Specifies the release due date for this Retention Register.,يحدد Release Due Date لهذا السجل: سجل المحتجزات.
Specifies the require cost code on project purchase for this Financial Dimension Settings.,يحدد Require كود التكلفة On المشروع Purchase لهذا السجل: إعدادات الأبعاد المالية.
Specifies the require unit on unit specific cost for this Financial Dimension Settings.,يحدد Require الوحدة On الوحدة Specific Cost لهذا السجل: إعدادات الأبعاد المالية.
Specifies the require work item on project purchase for this Financial Dimension Settings.,يحدد Require Work Item On المشروع Purchase لهذا السجل: إعدادات الأبعاد المالية.
Specifies the require work item on project purchase for this Procurement Control Settings.,يحدد Require Work Item On المشروع Purchase لهذا السجل: إعدادات رقابة المشتريات.
Specifies the reservation date for this Unit Reservation.,يحدد الحجز Date لهذا السجل: حجز وحدة.
Specifies the retained on for this Retention Register.,يحدد Retained On لهذا السجل: سجل المحتجزات.
Specifies the retention count for this Project Cash Flow Forecast Period.,يحدد المحتجزات Count لهذا السجل: فترة توقع التدفق النقدي.
Specifies the retention percent default for this Contractor Account.,يحدد المحتجزات Percent Default لهذا السجل: حساب المقاول.
Specifies the retention percent for this Interim Payment Certificate Line.,يحدد المحتجزات Percent لهذا السجل: بند مستخلص مقاول.
Specifies the retention percent for this Interim Payment Certificate.,يحدد المحتجزات Percent لهذا السجل: مستخلص مقاول.
Specifies the retention percent for this Retention Register.,يحدد المحتجزات Percent لهذا السجل: سجل المحتجزات.
Specifies the retention release outflow for this Project Cash Flow Forecast Period.,يحدد المحتجزات Release Outflow لهذا السجل: فترة توقع التدفق النقدي.
Specifies the revision no for this Construction BOQ.,يحدد رقم المراجعة لهذا السجل: جدول كميات البناء.
Specifies the section for this Construction BOQ Item.,يحدد القسم لهذا السجل: بند جدول كميات البناء.
Specifies the snapshot date for this Project Financial Snapshot.,يحدد Snapshot Date لهذا السجل: الملخص المالي للمشروع.
Specifies the snapshot title for this Project Financial Snapshot.,يحدد Snapshot Title لهذا السجل: الملخص المالي للمشروع.
Specifies the source boq revision for this Construction Work Item.,يحدد Source Boq Revision لهذا السجل: بند عمل إنشائي.
Specifies the start date for this Project Cash Flow Forecast.,يحدد Start Date لهذا السجل: توقع التدفق النقدي للمشروع.
Specifies the start date for this Property Ownership.,يحدد Start Date لهذا السجل: ملكية العقار.
Specifies the storage area for this Unit.,يحدد Storage المساحة لهذا السجل: الوحدة.
Specifies the tax id for this Property Owner.,يحدد Tax Id لهذا السجل: مالك العقار.
Specifies the unit code for this Unit.,يحدد رمز الوحدة لهذا السجل: الوحدة.
Specifies the unit name for this Unit.,يحدد اسم الوحدة لهذا السجل: الوحدة.
Specifies the unit rate for this Construction BOQ Item.,يحدد سعر الوحدة لهذا السجل: بند جدول كميات البناء.
Specifies the unit rate for this Construction Work Item.,يحدد سعر الوحدة لهذا السجل: بند عمل إنشائي.
Specifies the unit rate for this Interim Payment Certificate Line.,يحدد سعر الوحدة لهذا السجل: بند مستخلص مقاول.
Specifies the unit rate for this Measurement Entry.,يحدد سعر الوحدة لهذا السجل: قيد قياس.
Specifies the unit type name for this Unit Type.,يحدد نوع الوحدة Name لهذا السجل: نوع الوحدة.
Specifies the valid from for this Unit Reservation.,يحدد صالح من لهذا السجل: حجز وحدة.
Specifies the variation reference for this Interim Payment Certificate Line.,يحدد Variation Reference لهذا السجل: بند مستخلص مقاول.
Specifies the verified on for this Measurement Book.,يحدد Verified On لهذا السجل: دفتر القياسات.
Specifies the verified on for this Measurement Entry.,يحدد Verified On لهذا السجل: قيد قياس.
Specifies the wastage percent for this Construction BOQ Item.,يحدد Wastage Percent لهذا السجل: بند جدول كميات البناء.
Specifies the wbs code for this Construction BOQ Item.,يحدد Wbs Code لهذا السجل: بند جدول كميات البناء.
Specifies the wbs code for this Construction Work Item.,يحدد Wbs Code لهذا السجل: بند عمل إنشائي.
Specifies the wbs code for this WBS Element.,يحدد Wbs Code لهذا السجل: عنصر هيكل العمل.
Specifies the wbs name for this WBS Element.,يحدد Wbs Name لهذا السجل: عنصر هيكل العمل.
Specifies the width for this Measurement Entry.,يحدد Width لهذا السجل: قيد قياس.
"Standalone field measurement linked to a Construction Work Item, with engineer and QS verification details.","Standalone field measurement linked to a بند عمل إنشائي, with engineer and QS verification details."
Start Date,تاريخ البداية
Start Date and End Date are required.,Start Date and End Date are required.
Start Date cannot be after End Date.,Start Date cannot be after End Date.
Starting cash position used for forecast running balance.,الرصيد النقدي الافتتاحي المستخدم لحساب الرصيد التراكمي في التوقع.
Storage Area,Storage المساحة
Subcontract,عقد مقاول الباطن
Subcontract Activity,عقد مقاول الباطن Activity
Submitted By,تم الإرسال بواسطة
Submitted On,تاريخ التقديم
